ChemicalID,ChemicalName,phase1_unfiltered_rank,molecular_level,eligible_permissive,eligible_moderate,eligible_strict,disposition,manual_review_required,manual_review_reason
C096666,9-ethynylphenanthrene,221,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C098123,"3,3-bis(trifluoromethyl)bicyclo(2.2.1)heptane-2,2-dicarbonitrile",222,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C099343,cuprous sulfide,223,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C100422,benzo(g)chrysene,224,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C110144,benzo(c)chrysene,225,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C113497,dimethyl-W84,226,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C115112,CC 3052,227,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C115612,single bond,228,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C116689,"heptane-1,7-bis-(dimethyl-3'-phthalimidopropyl)ammonium bromide",229,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C117619,"1,2-dimethylnaphthalene",230,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C402363,1-(1-propynyl)pyrene,231,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C434863,corannulene,232,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C447880,retene,233,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C466921,"1,6-dimethylnaphthalene",234,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C501268,"naphtho(2,3-a)pyrene",235,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C502587,"(N-N'-bis-(2-(1H-indol-3-yl)-ethyl)-N,N'-bis-(3-thiomorpholin-4-yl-propyl)-phthalamide)",236,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C508802,NSC 401077,237,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C512161,bisphenol A glucuronide,238,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C516433,copper(II) nitrate,239,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C522458,"2-hydroxy-4-(2,2,3,3,3-pentafluoropropoxy)benzoic acid",240,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C523076,CuFe2O4,241,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C523456,CEP 8983,242,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C524826,tetraconazole,243,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C529617,3-methylchrysene,244,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C529618,4-methylchrysene,245,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C532828,potassium hexachloropalladate(IV),246,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C533806,"1,1,1,2,2-pentafluoro-7-phenylheptan-3-one",247,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C534679,"3,3'-dichlorobisphenol A",248,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C535034,2-ethynylpyrene,249,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C535035,4-ethynylpyrene,250,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C558144,"ammonium 4,8-dioxa-3H-perfluorononanoate",251,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C582932,BRD73954,252,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D000083462,Persistent Organic Pollutants,253,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D002586,Cesium,254,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D005659,"Fungicides, Industrial",255,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D007306,Insecticides,256,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D010165,Palladium,257,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D010569,Perylene,258,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D012238,Rhodium,259,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D012413,Rubidium,260,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D012989,Soil Pollutants,261,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D013324,Strontium,262,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D013667,Technetium,263,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D014001,Tin,264,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D014414,Tungsten,265,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D015040,Zirconium,266,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D017438,Bisphenol A-Glycidyl Methacrylate,267,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
