gene,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value
ABCE1,0.052489177489177447,0.4755244755244755,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8888312457786461
ABCF1,0.12662337662337658,0.06793206793206794,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.4482544289342143
ABCF3,-0.022546897546897548,0.7662337662337663,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9718485214668422
ABCG1,-0.04411976911976915,0.5434565434565435,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.913088187206799
ABCG2,0.0378427128427128,0.5954045954045954,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9294665179598536
ABCG4,-0.0709595959595959,0.3226773226773227,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8108922008635867
ABCG5,0.0278860028860029,0.6903096903096904,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9538984134225793
ABCG8,-0.007503607503607502,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902
ABHD1,0.0713564213564213,0.31868131868131866,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8077844365639858
ABHD10,-0.005158730158730201,0.9430569430569431,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.995214416183168
ABHD11,-0.06994949494949494,0.33466533466533466,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.820557400589307
ABHD12,-0.1607503607503607,0.027972027972027972,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.2652381037985151
ABHD12B,-0.0874458874458874,0.23076923076923078,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.73813335467862
ABHD13,-0.008333333333333349,0.8981018981018981,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9912791655976734
ABHD14A,0.0331168831168831,0.6493506493506493,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9422561123871032
ABHD14B,0.008044733044733052,0.9090909090909091,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902
ABHD15,-0.04841269841269839,0.5254745254745254,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9087890728925987
ABHD16A,-0.14610389610389604,0.04095904095904096,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.3388997722779688
