donor_id,condition,analysis_group,n_cells,PGE2_synthesis_mean,PGE2_synthesis_median,PGE2_synthesis_high_fraction,PLA2G4A_mean,PLA2G4A_detection_fraction,PTGS1_mean,PTGS1_detection_fraction,PTGS2_mean,PTGS2_detection_fraction,PTGES_mean,PTGES_detection_fraction,PTGES2_mean,PTGES2_detection_fraction,PTGES3_mean,PTGES3_detection_fraction
KUL19,normal,smooth_muscle_like,57,0.1032068715800777,-0.023694248473304664,0.3333333333333333,0.03638513742686511,0.03508771929824561,0.19730976172696982,0.15789473684210525,0.02446135831303256,0.017543859649122806,0.0,0.0,0.2516031608832675,0.21052631578947367,0.9348579912849783,0.6140350877192983
KUL19,tumor,B_cells,537,-0.1745006503507326,-0.2079580712406791,0.09124767225325885,0.0,0.0,0.026700441032035616,0.020484171322160148,0.002168400601047227,0.00186219739292365,0.0022931012711841486,0.00186219739292365,0.10049635962134298,0.1042830540037244,0.7019889923332353,0.515828677839851
KUL19,tumor,C1QC_like_TAM,129,0.31003167528675346,0.25782226041433665,0.5813953488372093,0.034243067705287185,0.06201550387596899,0.3760912050709893,0.4806201550387597,0.07253746180248598,0.10852713178294573,0.007148417427417376,0.015503875968992248,0.296092758847767,0.4186046511627907,1.1411896456835582,0.8449612403100775
KUL19,tumor,FCN1_inflammatory_monocyte_like,35,0.17725029991379698,0.0453458667925886,0.4857142857142857,0.05323320034575942,0.05714285714285714,0.2193115456577242,0.2571428571428571,0.2510069228389976,0.22857142857142856,0.0,0.0,0.15944767459791753,0.2,0.7063934556496544,0.6
KUL19,tumor,SPP1_like_TAM,8,0.04315461403880638,0.016508049792276498,0.25,0.0,0.0,0.2007660618675617,0.375,0.2824117948699835,0.125,0.0,0.0,0.06051470687728095,0.125,0.5441163627004237,0.5
KUL19,tumor,T_cells,1309,-0.13984962970368692,-0.12407636801450177,0.09931245225362872,0.0,0.0,0.004339556754729994,0.0030557677616501145,0.0,0.0,0.0012239253505905076,0.0007639419404125286,0.1253344611423338,0.09090909090909091,0.9026950744974072,0.5653170359052712
KUL19,tumor,endothelial_like,176,-0.05292949988412825,-0.08976618593829458,0.21022727272727273,0.0,0.0,0.019185432757813106,0.028409090909090908,0.005748546110600394,0.005681818181818182,0.047777005547427275,0.0625,0.18339244499110416,0.23295454545454544,1.0004812278400599,0.7272727272727273
KUL19,tumor,enteric_glial_like,12,0.006865600075684302,0.033617604700956594,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184849443568563,0.08333333333333333,1.6518010304381994,0.8333333333333334
KUL19,tumor,fibroblast_like,189,0.15800100739788836,0.046199616277050826,0.42328042328042326,0.044434568290847194,0.06349206349206349,0.05218358677959269,0.06878306878306878,0.009949073593974074,0.021164021164021163,0.21702469669999178,0.2804232804232804,0.20753550757875047,0.30158730158730157,1.0661056936635889,0.873015873015873
KUL19,tumor,mast_cells,31,0.770245233447724,0.691179159581071,0.6129032258064516,0.11135100472229835,0.06451612903225806,0.6618479740639538,0.3870967741935484,0.6097133032565485,0.3548387096774194,0.0,0.0,0.13719034916795414,0.0967741935483871,0.9176437395467532,0.5161290322580645
KUL19,tumor,other_myeloid,27,0.26522050191758473,0.32208283073957955,0.7037037037037037,0.021398561780775465,0.037037037037037035,0.2832153441429747,0.4074074074074074,0.17979415467480214,0.18518518518518517,0.0,0.0,0.39154944053987173,0.5185185185185185,0.8423764997542743,0.8148148148148148
KUL19,tumor,pericyte_like,28,0.013497061897735047,-0.08176785287739144,0.25,0.06873033474046907,0.03571428571428571,0.0,0.0,0.0,0.0,0.024964217860930803,0.03571428571428571,0.2334923185471458,0.2857142857142857,0.9631110974174871,0.6785714285714286
KUL19,tumor,resident_like,9,0.22318464577159944,0.17726152233702427,0.5555555555555556,0.0,0.0,0.05109704180124028,0.1111111111111111,0.06351674827417007,0.1111111111111111,0.14479722068046172,0.1111111111111111,0.4016854434484017,0.3333333333333333,1.3470808640224354,0.8888888888888888
KUL19,tumor,smooth_muscle_like,64,-0.011144753846122707,-0.09133272140415424,0.234375,0.02029413644440692,0.03125,0.0231863945043293,0.03125,0.010786082977211973,0.015625,0.008027332636596716,0.015625,0.23968938181039878,0.234375,1.0691461578978105,0.734375
KUL19,tumor,tumor_epithelial,574,-0.004638509059730133,0.005216619040394036,0.2979094076655052,0.0,0.0,0.0029090363574610194,0.003484320557491289,0.002987533075158099,0.0017421602787456446,0.07161529436964183,0.09233449477351917,0.21429655675252557,0.19337979094076654,1.1590001683274247,0.5749128919860628
KUL21,border,B_cells,15,-0.22039464528535177,-0.3797972811438783,0.06666666666666667,0.0,0.0,0.0,0.0,0.022231395461084706,0.06666666666666667,0.0,0.0,0.14772867724733502,0.06666666666666667,0.4222080366855182,0.4
KUL21,border,C1QC_like_TAM,11,0.046286475968255504,-0.14162028592812248,0.2727272727272727,0.0,0.0,0.16611745820740983,0.09090909090909091,0.0,0.0,0.0,0.0,0.28799378912655266,0.2727272727272727,0.9664142073602826,0.5454545454545454
KUL21,border,FCN1_inflammatory_monocyte_like,136,0.02935718396666137,-0.03516029315506119,0.22058823529411764,0.02784034510177222,0.022058823529411766,0.0972251866338576,0.08088235294117647,0.07166641775973952,0.058823529411764705,0.0,0.0,0.13884755021775808,0.125,1.049271608177289,0.625
KUL21,border,SPP1_like_TAM,9,0.10660906352955779,-0.07821027764974559,0.3333333333333333,0.0,0.0,0.30356781001689703,0.2222222222222222,0.0,0.0,0.0,0.0,0.203488576427089,0.2222222222222222,0.9880324768961173,0.6666666666666666
KUL21,border,T_cells,221,-0.1463477032260238,-0.08956553958519152,0.08597285067873303,0.0,0.0,0.008143530741816054,0.004524886877828055,0.0,0.0,0.0,0.0,0.08769110887797717,0.05429864253393665,0.9384123312804006,0.4841628959276018
KUL21,border,border_epithelial,740,0.04888090360985595,-0.013195740118444783,0.34459459459459457,0.028266874495243885,0.03648648648648649,0.0009550777762693893,0.002702702702702703,0.008214171590880262,0.012162162162162163,0.09360964975722516,0.13243243243243244,0.2969119953275107,0.3554054054054054,1.0082641285536018,0.7594594594594595
KUL21,border,endothelial_like,53,0.010923430577223345,-0.04398998497467973,0.24528301886792453,0.0,0.0,0.0426021009760245,0.05660377358490566,0.08343368250287383,0.07547169811320754,0.01665327791092347,0.018867924528301886,0.14429791174355777,0.18867924528301888,1.2067871683468705,0.8113207547169812
KUL21,border,fibroblast_like,349,0.18672339869348853,0.040228713932400385,0.4154727793696275,0.019070887788028186,0.034383954154727794,0.05653502391400633,0.06876790830945559,0.10621296269057688,0.12320916905444126,0.281925942307239,0.25501432664756446,0.15072099517803067,0.22636103151862463,0.9967948574889831,0.7936962750716332
KUL21,border,mast_cells,44,0.8476905175848176,0.951513445029061,0.7045454545454546,0.1053619419446694,0.09090909090909091,0.9959251900979434,0.5681818181818182,0.38460645143273625,0.20454545454545456,0.0,0.0,0.08501919530121496,0.06818181818181818,0.9596154988171843,0.5681818181818182
KUL21,border,other_myeloid,6,0.3448958697449665,0.36590180850570586,0.8333333333333334,0.11502676964369939,0.16666666666666666,0.4092684875164369,0.5,0.12757440790294142,0.16666666666666666,0.0,0.0,0.26680894056792426,0.3333333333333333,0.6568530657955646,0.8333333333333334
KUL21,border,pericyte_like,48,0.03798293130513052,-0.07914082222063512,0.3333333333333333,0.05605360370082262,0.041666666666666664,0.0,0.0,0.0,0.0,0.09296276826221528,0.10416666666666667,0.18686750950138595,0.25,1.0380123066875628,0.75
KUL21,border,resident_like,84,0.10531429132576513,-0.03288475777129174,0.36904761904761907,0.022885657121606357,0.03571428571428571,0.2763939481346568,0.2619047619047619,0.024491318531138333,0.023809523809523808,0.0,0.0,0.13994409832957572,0.15476190476190477,0.9955396450094944,0.6428571428571429
KUL21,border,smooth_muscle_like,25,0.05217281020028959,-0.037772724721121274,0.2,0.07012954362751558,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.2478167416974454,0.24,1.1937583174537698,0.68
KUL21,normal,B_cells,329,-0.24374469207408894,-0.28565453499433446,0.02735562310030395,0.0,0.0,0.0010709303441467652,0.00303951367781155,0.001209503166214617,0.00303951367781155,0.0,0.0,0.07743552996333818,0.1276595744680851,0.5024391456167093,0.5592705167173252
KUL21,normal,C1QC_like_TAM,18,0.27932184417491146,-0.012075947418145327,0.2777777777777778,0.12906487692183924,0.1111111111111111,0.19381502378918214,0.1111111111111111,0.2746883460958506,0.16666666666666666,0.0,0.0,0.05083098931699393,0.05555555555555555,0.9908216607792656,0.6111111111111112
