cohort,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE188711,Tumor,Right,T_NK,Marker-inferred from 10X UMI,5612,21110747,2617,1685,133.5006037934,1.7584249202918454,CEBPB,123.96529596986785,4.8280360665142785,0.30024946543121883,True
GSE188711,Tumor,Right,Unclassified,Marker-inferred from 10X UMI,146,339057,37,13,150.1483015522482,0.6486820371173562,CEBPB,109.12619412075256,4.701626927518804,0.08904109589041095,True
GSE200997,Normal,Left,B_Plasma,Marker-inferred from raw UMI,3494,16924610,387,313,23.322874203380607,0.4704001772068593,CEBPB,22.866110356457252,3.1724594759398426,0.08958214081282198,True
GSE200997,Normal,Left,Endothelial,Marker-inferred from raw UMI,34,64696,4,4,59.14097800255593,0.7065934770296006,CEBPB,61.82762458266353,4.140394858644024,0.11764705882352941,False
GSE200997,Normal,Left,Epithelial,Marker-inferred from raw UMI,1615,3244817,147,128,61.47378849403961,0.4979503164175575,CEBPB,45.30301708848295,3.8352071228672338,0.07925696594427245,True
GSE200997,Normal,Left,Fibroblast,Marker-inferred from raw UMI,118,349478,51,30,145.50823029512804,1.5757453826997139,CEBPB,145.93193276830016,4.989969437148987,0.2542372881355932,True
GSE200997,Normal,Left,Mast,Marker-inferred from raw UMI,28,51261,2,2,73.09536181514696,0.4703137596854598,CEBPB,39.016016074598625,3.6892797758394664,0.07142857142857142,False
GSE200997,Normal,Left,Myeloid,Marker-inferred from raw UMI,70,341667,49,23,103.21760675759676,1.8202785242244832,CEBPB,143.41449422976171,4.972687596973803,0.32857142857142857,True
GSE200997,Normal,Left,Neutrophil,Marker-inferred from raw UMI,10,21126,16,6,864.0772456203752,4.126601186922313,CEBPB,757.3605983148726,6.631158995892428,0.6,False
GSE200997,Normal,Left,T_NK,Marker-inferred from raw UMI,6528,20227980,1060,891,53.88036366639551,0.79682576826579,CEBPB,52.402662055232405,3.9778605959451987,0.13648897058823528,True
GSE200997,Normal,Left,Unclassified,Marker-inferred from raw UMI,154,118237,4,3,14.116318658301363,0.12621848732301882,CEBPB,33.83035767145648,3.550489353387959,0.01948051948051948,True
GSE200997,Normal,Right,B_Plasma,Marker-inferred from raw UMI,1945,10054017,134,125,15.428792435753657,0.33697522997115803,CEBPB,13.32800610939886,2.6622160911541086,0.06426735218508997,True
GSE200997,Normal,Right,Endothelial,Marker-inferred from raw UMI,25,51112,1,1,11.001100110011,0.2248200203359431,CEBPB,19.564877132571606,3.023584627075267,0.04,False
GSE200997,Normal,Right,Epithelial,Marker-inferred from raw UMI,1160,2835872,65,61,39.04206618136039,0.3267358504389075,CEBPB,22.92063957752677,3.1747416669158905,0.052586206896551725,True
GSE200997,Normal,Right,Fibroblast,Marker-inferred from raw UMI,83,214901,32,16,96.6147980840123,1.1591536777720688,CEBPB,148.90577521742568,5.010006931500662,0.1927710843373494,True
GSE200997,Normal,Right,Mast,Marker-inferred from raw UMI,12,12107,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE200997,Normal,Right,Myeloid,Marker-inferred from raw UMI,32,122266,13,8,107.29653335727875,1.4514016869431199,CEBPB,106.32555248392849,4.67586676186284,0.25,False
GSE200997,Normal,Right,Neutrophil,Marker-inferred from raw UMI,2,17878,6,2,357.98484986927593,5.531564364336916,CEBPB,335.6080098445016,5.818919077803053,1.0,False
