test_id,biomarker,exposure_axis,ranking_method,destination_sex,outcome_id,outcome_name,organ_system_id,organ_system_name,sex_beta,sex_se,sex_z,beta_interaction,p_interaction,bh_q_interaction_fixed406,interaction_direction_supports_destination,primary_interaction_sign,creatinine_beta,creatinine_direction_agrees,loco_successful_n,loco_min_beta,loco_max_beta,loco_sign_reversals,winsor_beta,tail_delete_beta,lod_beta,cycle_heterogeneity_p,cycle_heterogeneity_status
NHANES_URXMOH,URXMOH,DEHP-related exposure axis;phthalate exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.1020394012631596,0.0202848011901874,5.030337754186139,0.0381391242439824,0.1233877140544844,0.4919225107746001,False,1.0,0.0381391242439824,True,9,0.0274000773444355,0.0531097660370191,0,0.0385507351404261,0.041258218953724,0.0394100069796411,0.0420699806891989,ok
NHANES_URXMOH,URXMOH,DEHP-related exposure axis;phthalate exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1605625844659709,0.0190942770413235,8.408937616149812,0.0381391242439824,0.1233877140544844,0.4919225107746001,True,1.0,0.0381391242439824,True,9,0.0274000773444355,0.0531097660370191,0,0.0385507351404261,0.041258218953724,0.0394100069796411,0.0420699806891989,ok
NHANES_URXMZP,URXMZP,phthalate exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.1030278089905797,0.019206748251343,5.364146374094097,0.0875131949899874,0.0006060858377039,0.0223700772825267,False,1.0,0.0875131949899874,True,10,0.0794485479070884,0.0990201217560932,0,0.0870303723808132,0.0854406205602248,0.1004475535061476,0.0869266797459528,ok
NHANES_URXMZP,URXMZP,phthalate exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.1712400359645781,0.0172116237848689,9.949092433400665,0.0875131949899874,0.0006060858377039,0.0223700772825267,True,1.0,0.0875131949899874,True,10,0.0794485479070884,0.0990201217560932,0,0.0870303723808132,0.0854406205602248,0.1004475535061476,0.0869266797459528,ok
NHANES_URXMZP,URXMZP,phthalate exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.1030278089905797,0.019206748251343,5.364146374094097,0.0875131949899874,0.0006060858377039,0.0223700772825267,False,1.0,0.0875131949899874,True,10,0.0794485479070884,0.0990201217560932,0,0.0870303723808132,0.0854406205602248,0.1004475535061476,0.0869266797459528,ok
NHANES_URXMZP,URXMZP,phthalate exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1712400359645781,0.0172116237848689,9.949092433400665,0.0875131949899874,0.0006060858377039,0.0223700772825267,True,1.0,0.0875131949899874,True,10,0.0794485479070884,0.0990201217560932,0,0.0870303723808132,0.0854406205602248,0.1004475535061476,0.0869266797459528,ok
NHANES_URXP02,URXP02,PAH exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.1657519818002386,0.0275301908584791,6.020734932507312,0.0850873700639085,0.0075735562853791,0.1156174460247801,False,1.0,0.0850873700639086,True,8,0.0603557289391999,0.1085208085940334,0,0.0923909232615216,0.086134932195718,0.0911859445066732,0.1071031466475656,ok
NHANES_URXP02,URXP02,PAH exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.205441591688149,0.0263257586370657,7.803824175417866,0.0850873700639085,0.0075735562853791,0.1156174460247801,True,1.0,0.0850873700639086,True,8,0.0603557289391999,0.1085208085940334,0,0.0923909232615216,0.086134932195718,0.0911859445066732,0.1071031466475656,ok
NHANES_URXP02,URXP02,PAH exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.1657519818002386,0.0275301908584791,6.020734932507312,0.0850873700639085,0.0075735562853791,0.1156174460247801,False,1.0,0.0850873700639086,True,8,0.0603557289391999,0.1085208085940334,0,0.0923909232615216,0.086134932195718,0.0911859445066732,0.1071031466475656,ok
NHANES_URXP02,URXP02,PAH exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.205441591688149,0.0263257586370657,7.803824175417866,0.0850873700639085,0.0075735562853791,0.1156174460247801,True,1.0,0.0850873700639086,True,8,0.0603557289391999,0.1085208085940334,0,0.0923909232615216,0.086134932195718,0.0911859445066732,0.1071031466475656,ok
