disease_id,test_id,variable,cycle,exposure_rows,exposure_nonmissing,outcome_rows,merge_rows,complete_case_rows,complete_case_cases
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2015-2016,3279,3061,5719,1861,1593,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2017-2018,2979,2808,5569,1757,1449,575
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2003-2004,2673,2543,5041,1611,1414,520
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2005-2006,2692,2576,4979,1593,1429,423
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2007-2008,2720,2627,5935,1920,1668,586
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2009-2010,2941,2848,6218,2073,1811,623
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2011-2012,2594,2504,5560,1775,1530,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2013-2014,2755,2664,5769,1858,1668,600
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2015-2016,3279,3061,5719,1861,1593,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCD,URXUCD,2017-2018,2979,2808,5569,1757,1449,575
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,1999-2000,2547,2465,4880,1448,1171,344
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2001-2002,2804,2690,5411,1621,1367,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2003-2004,2673,2558,5041,1611,1425,524
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2005-2006,2692,2576,4979,1593,1429,423
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2007-2008,2720,2627,5935,1920,1668,586
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2009-2010,2941,2848,6218,2073,1811,623
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2011-2012,2594,2504,5560,1775,1530,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2013-2014,2755,2664,5769,1858,1668,600
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2015-2016,3279,3061,5719,1861,1593,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCO,URXUCO,2017-2018,2979,2808,5569,1757,1449,575
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,1999-2000,2547,2464,4880,1448,1171,344
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2001-2002,2804,2690,5411,1621,1367,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2003-2004,2673,2558,5041,1611,1425,524
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2005-2006,2692,2576,4979,1593,1429,423
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2007-2008,2720,2627,5935,1920,1668,586
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2009-2010,2941,2848,6218,2073,1811,623
