cluster_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,term_theme_id,term_theme_label,intersection_genes
theme_17,miRNA transcription / metabolism,GO:0061614,GO:BP,miRNA transcription,0.033807645234822395,5,mirna_regulation,miRNA transcription / metabolism,ESR1;PPARD;PPARG;RELA;STAT3
theme_17,miRNA transcription / metabolism,GO:1902893,GO:BP,regulation of miRNA transcription,0.033807645234822395,5,mirna_regulation,miRNA transcription / metabolism,ESR1;PPARD;PPARG;RELA;STAT3
theme_18,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-556833,REAC,Metabolism of lipids,0.009427534111278836,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2
theme_19,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-8978868,REAC,Fatty acid metabolism,0.008072712826864078,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;PPARD;PTGS1;PTGS2
theme_20,Development / reproduction / circulation,GO:0008015,GO:BP,blood circulation,0.01590157939375247,6,development_reproduction,Development / reproduction / circulation,CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2
theme_20,Development / reproduction / circulation,GO:0003013,GO:BP,circulatory system process,0.025618847845572085,6,development_reproduction,Development / reproduction / circulation,CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2
theme_21,Signaling / receptor / hormone response,GO:0009966,GO:BP,regulation of signal transduction,0.01804116983302586,13,signaling_receptor,Signaling / receptor / hormone response,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_21,Signaling / receptor / hormone response,GO:0023051,GO:BP,regulation of signaling,0.025618847845572085,13,signaling_receptor,Signaling / receptor / hormone response,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_21,Signaling / receptor / hormone response,GO:0010646,GO:BP,regulation of cell communication,0.025841931441080542,13,signaling_receptor,Signaling / receptor / hormone response,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_21,Signaling / receptor / hormone response,GO:1902531,GO:BP,regulation of intracellular signal transduction,0.03546946054989412,11,signaling_receptor,Signaling / receptor / hormone response,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
theme_22,Lipid / fatty-acid / eicosanoid metabolism,GO:0001516,GO:BP,prostaglandin biosynthetic process,0.01804116983302586,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1;PTGS2;SIRT1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,GO:0046457,GO:BP,prostanoid biosynthetic process,0.01804116983302586,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1;PTGS2;SIRT1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,GO:0006636,GO:BP,unsaturated fatty acid biosynthetic process,0.026253202802905256,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1;PTGS2;SIRT1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,GO:0046456,GO:BP,icosanoid biosynthetic process,0.026253202802905256,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1;PTGS2;SIRT1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,GO:0006692,GO:BP,prostanoid metabolic process,0.040022080267862956,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1;PTGS2;SIRT1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,GO:0006693,GO:BP,prostaglandin metabolic process,0.040022080267862956,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1;PTGS2;SIRT1
theme_23,Chemical / oxygen / abiotic stress response,GO:0071492,GO:BP,cellular response to UV-A,0.01804116983302586,3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,MMP2;MMP9;TIMP1
theme_23,Chemical / oxygen / abiotic stress response,REAC:R-HSA-1592389,REAC,Activation of Matrix Metalloproteinases,0.026253202802905256,3,matrix_migration,Matrix remodeling / cell migration,MMP2;MMP9;TIMP1
theme_24,Lipid / fatty-acid / eicosanoid metabolism,GO:0001676,GO:BP,long-chain fatty acid metabolic process,0.020329567669730736,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS1;PTGS2
