dataset_version_id,role,cell_type_original,cell_class,branch_class,module_id,module_size,module_genes_total,module_genes_found,module_gene_coverage,module_genes_found_list,n_male_donors,n_female_donors,male_mean_activity,female_mean_activity,female_minus_male_activity,se,raw_p,test_status,activity_definition,FDR,fdr_family,fdr_denominator,direction
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M006,12,12,11,0.9166666666666666,ACTA1;CAP1;EZR;MACF1;MYL6;PTK2B;TNNI3;TNNT1;TNNT2;TPM1;VCL,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M007,6,6,6,1.0,GAA;GBA1;GLA;NPC1;SMPD1;SPHK1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M008,5,5,5,1.0,CLDN1;CLDN2;CLDN3;CLDN4;MARVELD2,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M009,2,2,2,1.0,CLCNKB;KLF15,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M010,2,2,2,1.0,GFER;QSOX1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M011,2,2,2,1.0,IL4I1;PAH,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M012,2,2,2,1.0,KLK7;SPINK5,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M013,1,1,1,1.0,ABCB6,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M014,1,1,1,1.0,ABCC1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M015,1,1,1,1.0,ACP1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M016,1,1,1,1.0,ACP2,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M017,1,1,1,1.0,ADRA2C,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M018,1,1,1,1.0,ANXA6,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M019,1,1,1,1.0,APOBEC3A,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M020,1,1,1,1.0,APOBEC3F,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
