dataset_id,sample_id,group,pair_id,gene_symbol,expression_value,expression_scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CD86,1.258,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CEBPA,5.369,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CEBPB,4.064,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CNR1,0.2277,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,COPS5,5.226,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CXCR4,3.586,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CYP11B1,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CYP17A1,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CYP3A4,2.183,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,DUSP1,6.696,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,EPAS1,6.214,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ESR1,-1.884,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,FABP1,12.56,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,FAS,4.36,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,FASN,5.362,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,FDPS,6.745,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,G6PD,4.424,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,GATA2,1.401,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,GJB2,4.668,Toil/Xena RSEM TPM delivered on log2-like scale
