stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000264246,9606.ENSP00000398698,9606.ENSP00000264246,9606.ENSP00000398698,9606,0.908,0.0,0,0.0,0.205,0.0,0.0,0.89
9606.ENSP00000264246,9606.ENSP00000332049,9606.ENSP00000264246,9606.ENSP00000332049,9606,0.999,0.0,0,0.0,0.262,0.393,0.9,0.989
9606.ENSP00000264657,9606.ENSP00000380252,9606.ENSP00000264657,9606.ENSP00000380252,9606,0.742,0.0,0,0.0,0.14,0.324,0.0,0.592
9606.ENSP00000264657,9606.ENSP00000386884,9606.ENSP00000264657,9606.ENSP00000386884,9606,0.775,0.0,0,0.0,0.069,0.0,0.0,0.768
9606.ENSP00000264657,9606.ENSP00000355231,9606.ENSP00000264657,9606.ENSP00000355231,9606,0.803,0.0,0,0.0,0.097,0.292,0.0,0.717
9606.ENSP00000264657,9606.ENSP00000332049,9606.ENSP00000264657,9606.ENSP00000332049,9606,0.806,0.0,0,0.0,0.06,0.0,0.5,0.62
9606.ENSP00000264657,9606.ENSP00000280357,9606.ENSP00000264657,9606.ENSP00000280357,9606,0.806,0.0,0,0.0,0.052,0.0,0.5,0.624
9606.ENSP00000264657,9606.ENSP00000287820,9606.ENSP00000264657,9606.ENSP00000287820,9606,0.826,0.0,0,0.0,0.055,0.045,0.0,0.823
9606.ENSP00000264657,9606.ENSP00000304915,9606.ENSP00000264657,9606.ENSP00000304915,9606,0.843,0.0,0,0.0,0.0,0.0,0.5,0.699
9606.ENSP00000264657,9606.ENSP00000325120,9606.ENSP00000264657,9606.ENSP00000325120,9606,0.858,0.0,0,0.0,0.0,0.528,0.0,0.711
9606.ENSP00000264657,9606.ENSP00000427514,9606.ENSP00000264657,9606.ENSP00000427514,9606,0.875,0.0,0,0.0,0.044,0.07,0.5,0.753
9606.ENSP00000264657,9606.ENSP00000361405,9606.ENSP00000264657,9606.ENSP00000361405,9606,0.89,0.0,0,0.0,0.061,0.0,0.5,0.786
9606.ENSP00000264657,9606.ENSP00000300134,9606.ENSP00000264657,9606.ENSP00000300134,9606,0.899,0.0,0,0.105,0.163,0.101,0.7,0.577
9606.ENSP00000264657,9606.ENSP00000363822,9606.ENSP00000264657,9606.ENSP00000363822,9606,0.907,0.0,0,0.0,0.048,0.626,0.0,0.761
9606.ENSP00000264657,9606.ENSP00000330393,9606.ENSP00000264657,9606.ENSP00000330393,9606,0.921,0.0,0,0.0,0.0,0.068,0.5,0.845
9606.ENSP00000264657,9606.ENSP00000405330,9606.ENSP00000264657,9606.ENSP00000405330,9606,0.93,0.0,0,0.0,0.042,0.476,0.0,0.873
9606.ENSP00000264657,9606.ENSP00000398698,9606.ENSP00000264657,9606.ENSP00000398698,9606,0.939,0.0,0,0.0,0.07,0.0,0.5,0.881
9606.ENSP00000264657,9606.ENSP00000451828,9606.ENSP00000264657,9606.ENSP00000451828,9606,0.966,0.0,0,0.0,0.118,0.096,0.5,0.925
